"","Coor.1","Coor.2","Peak","MeasB.1","MeasB.2","MeasB.3","MeasB.4"
"1",143,1988,10427,1981,136,1996,151
"2",158,2265,2574,2258,151,2273,166
"3",214,44,688,37,207,52,222
"4",238,1618,699,1611,231,1626,246
"5",262,1570,10654,1563,255,1578,270
"6",272,58,697,51,265,66,280
"7",475,848,4892,841,468,856,483
"8",568,1084,563,1077,561,1092,576
"9",581,972,565,965,574,980,589
"10",626,860,677,853,619,868,634
"11",626,1179,4659,1172,619,1187,634
"12",636,1064,854,1057,629,1072,644
"13",695,1975,508,1968,688,1983,703
"14",706,907,1411,900,699,915,714
"15",710,1668,10042,1661,703,1676,718
"16",715,1355,519,1348,708,1363,723
"17",736,1445,504,1438,729,1453,744
"18",759,263,9052,256,752,271,767
"19",772,1777,650,1770,765,1785,780
"20",809,300,1980,293,802,308,817
"21",856,866,3600,859,849,874,864
"22",897,1490,1026,1483,890,1498,905
"23",925,2219,3864,2212,918,2227,933
"24",926,1409,770,1402,919,1417,934
"25",934,1873,1243,1866,927,1881,942
"26",943,995,4179,988,936,1003,951
"27",950,804,723,797,943,812,958
"28",962,672,532,665,955,680,970
"29",972,1226,6216,1219,965,1234,980
"30",979,828,794,821,972,836,987
"31",1063,1193,2526,1186,1056,1201,1071
"32",1067,1011,22762,1004,1060,1019,1075
"33",1115,1877,601,1870,1108,1885,1123
"34",1124,1917,729,1910,1117,1925,1132
"35",1148,664,2765,657,1141,672,1156
"36",1182,651,2037,644,1175,659,1190
"37",1185,1083,28775,1076,1178,1091,1193
"38",1228,1254,1048575,1247,1221,1262,1236
"39",1232,554,538,547,1225,562,1240
"40",1232,1205,1048575,1198,1225,1213,1240
"41",1232,1223,1048575,1216,1225,1231,1240
"42",1235,1233,57790,1226,1228,1241,1243
"43",1268,984,642,977,1261,992,1276
"44",1270,1291,3222,1284,1263,1299,1278
"45",1270,1710,1621,1703,1263,1718,1278
"46",1278,1929,824,1922,1271,1937,1286
"47",1285,1630,5182,1623,1278,1638,1293
"48",1346,1775,566,1768,1339,1783,1354
"49",1359,1812,1823,1805,1352,1820,1367
"50",1371,255,1500,248,1364,263,1379
"51",1371,1851,2750,1844,1364,1859,1379
"52",1373,910,857,903,1366,918,1381
"53",1395,1307,6880,1300,1388,1315,1403
"54",1440,581,660,574,1433,589,1448
"55",1473,935,591,928,1466,943,1481
"56",1491,302,1284,295,1484,310,1499
"57",1529,1550,8764,1543,1522,1558,1537
"58",1547,496,1782,489,1540,504,1555
"59",1552,952,13091,945,1545,960,1560
"60",1556,383,6643,376,1549,391,1564
"61",1564,563,1435,556,1557,571,1572
"62",1579,1375,5062,1368,1572,1383,1587
"63",1589,1213,3890,1206,1582,1221,1597
"64",1589,2018,2194,2011,1582,2026,1597
"65",1621,976,1014,969,1614,984,1629
"66",1628,2009,528,2002,1621,2017,1636
"67",1636,1312,502,1305,1629,1320,1644
"68",1660,1710,644,1703,1653,1718,1668
"69",1666,938,3889,931,1659,946,1674
"70",1682,76,1098,69,1675,84,1690
"71",1709,2141,2160,2134,1702,2149,1717
"72",1712,1109,750,1102,1705,1117,1720
"73",1809,2260,552,2253,1802,2268,1817
"74",1821,1130,13507,1123,1814,1138,1829
"75",1902,1227,826,1220,1895,1235,1910
"76",1904,1357,1576,1350,1897,1365,1912
"77",1926,1456,3575,1449,1919,1464,1934
"78",2000,1337,1185,1330,1993,1345,2008
"79",2024,1998,8658,1991,2017,2006,2032
"80",2074,1588,733,1581,2067,1596,2082
"81",2128,1351,567,1344,2121,1359,2136
"82",2267,1406,8976,1399,2260,1414,2275
"83",2314,2184,5735,2177,2307,2192,2322
"84",2345,2302,1611,2295,2338,2310,2353
"85",2351,1175,769,1168,2344,1183,2359
"86",2355,1103,731,1096,2348,1111,2363
"87",2375,138,2626,131,2368,146,2383
"88",2380,337,7531,330,2373,345,2388
"89",2441,1462,882,1455,2434,1470,2449
